ANIO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_ENTAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2022|2|R|IMBABURA|OTAVALO|3005,5800|69285,9400|0,0000|6085,4300|1349,4500|0,0000|32,9800|7467,8600|72291,5200
2022|2|M|CARCHI|MONTUFAR|177711,3800|6977,0700|0,0000|103255,7100|10895,8200|122,1900|13210,2500|127483,9700|184747,0300
2022|2|N|PICHINCHA|SAN MIGUEL DE LOS BANCOS|3157,6100|210,0000|0,0000|4227,7900|133,6500|0,0000|133,5000|4494,9400|3367,6100
2022|2|M|EL ORO|MACHALA|5278245,3000|1661998,4300|1867562,7700|3468290,1200|1787088,6300|82074,9500|137396,2200|5474849,9200|8835910,7000
2022|2|G|IMBABURA|ANTONIO ANTE|4760553,7900|1964570,7200|0,0000|3886737,6000|1759328,9700|1269348,7200|70403,1000|6985818,3900|6725295,5200
2022|2|N|EL ORO|PIÑAS|265522,5200|230,0000|0,0000|177893,1100|32428,5300|120,0000|18,0000|210459,6400|265752,5200
2022|1|S|PASTAZA|PASTAZA|117614,0500|91121,1700|0,0000|170017,2700|58242,5400|905,6700|20595,1700|249760,6500|208745,2200
2022|2|J|ZAMORA CHINCHIPE|YANTZAZA|29117,7000|232,3000|0,0000|46293,4000|328,7600|0,0000|13,0000|46635,1600|29350,0000
2022|3|F|PICHINCHA|QUITO|104979949,1600|14250781,6000|364298,9700|86481596,8300|9625563,8800|6259539,8900|935561,0500|103786330,9800|123221579,3000
2022|3|S|GUAYAS|DURAN|3006204,1800|2222584,0800|789012,3000|697829,4700|250642,3900|3134829,0900|9253,7000|4114828,0000|6036031,4500
2022|3|L|LOS RIOS|PUEBLO VIEJO|8492,0700|21594,8500|0,0000|4730,5000|4384,9300|0,0000|0,0000|9115,4300|30086,9200
2022|2|A|ESMERALDAS|RIO VERDE|46854,4700|143093,1100|71967,9400|104659,8400|44816,7400|751,0100|10435,0700|160662,6600|262688,4200
2022|3|G|EL ORO|SANTA ROSA|4176609,5300|8843556,5000|25699871,6000|5616514,1300|22800383,8400|13,2500|138809,6500|28555720,8700|38756394,8000
2022|3|G|CARCHI|MIRA|25648,5400|9754,4500|0,0000|34058,5500|18461,0500|0,0000|0,0000|52519,6000|39539,9600
2022|3|G|LOS RIOS|QUEVEDO|16014139,6800|17132208,8000|6391752,2000|19620737,0300|16117996,0300|1869245,5300|389106,7000|37999977,2900|40584151,7300
2022|3|L|PICHINCHA|QUITO|37051617,9200|8106330,3200|52754,8000|21738869,1700|3754091,9600|958474,3200|268309,7200|26842618,3700|47022155,3900
2022|3|A|PICHINCHA|CAYAMBE|257154,0100|8153497,2800|17062751,5900|5318201,0700|11708576,3100|1227349,5300|120895,2400|18375561,1500|25504195,7400
2022|3|G|ESMERALDAS|ESMERALDAS|9083181,9100|7545345,9900|634990,3600|10546793,8700|5422165,4300|1112438,1700|28061,0100|17109458,4800|18454746,1000
2022|3|G|IMBABURA|IBARRA|31431846,6500|13218707,1200|74417,6900|31028093,9100|12722571,5000|764963,1400|90660,6400|44609756,3700|46337849,5000
2022|3|R|EL ORO|MACHALA|215653,9300|252567,7000|0,0000|381633,8300|45132,3400|0,0000|2768,0200|429534,1900|806878,3300
2022|3|G|LOS RIOS|BABA|402004,8100|320644,9500|0,0000|461836,1300|352336,1100|10227,3000|156,1900|824555,7300|728035,0900
2022|2|Q|GUAYAS|GUAYAQUIL|10864170,9600|124666016,7700|2578,0100|41557949,4200|29858267,2600|497747,8900|327202,1700|72273065,5200|135561826,8300
2022|3|S|PICHINCHA|QUITO|38865710,6400|20029576,4200|1036345,3900|23972084,1500|8565127,4300|6674571,1800|440243,9300|41695963,1900|61346972,5200
2022|3|R|ZAMORA CHINCHIPE|NANGARITZA|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|937,5000
2022|3|R|LOS RIOS|QUEVEDO|7285,4000|11328,3400|0,0000|15731,6800|7770,0700|0,0000|3713,9700|27215,7200|28558,9300
2022|3|O|TUNGURAHUA|AMBATO|403065,5600|1901995,3000|0,0000|8420491,5700|319018,1700|1287,9500|4125,4700|8744923,1600|2305060,8600
2022|3|N|COTOPAXI|LA MANA|39944,0900|894,8500|0,0000|27782,9400|395,9600|0,0000|0,0000|28178,9000|41048,9400
2022|1|C|CARCHI|MONTUFAR|17114,3200|56118,2900|3500,0000|61193,4300|38865,4200|0,0000|6563,7600|106622,6100|76732,6100
2022|3|N|SANTA ELENA|SANTA ELENA|207075,6800|13326,1800|0,0000|140298,1200|10893,6200|0,0000|0,0000|151191,7400|257327,0800
2022|3|J|LOS RIOS|VENTANAS|390493,2000|0,0000|0,0000|255700,7300|9539,1500|18689,1300|6399,9000|290328,9100|413973,5600
2022|3|K|CARCHI|BOLIVAR|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2022|3|I|CARCHI|MIRA|7499,0000|35,0000|0,0000|704,4600|5856,3300|0,0000|0,0000|6560,7900|7534,0000
2022|2|G|ESMERALDAS|ELOY ALFARO|574533,4600|641435,9500|0,0000|777096,8900|227365,9400|12773,9200|76795,4300|1094032,1800|1223581,1200
2022|1|I|ORELLANA|AGUARICO|38888,1000|401,0000|0,0000|15290,4300|519,3300|0,0000|0,0000|15809,7600|39289,1000
2022|2|F|CARCHI|BOLIVAR|47230,7300|54,0000|0,0000|33426,2400|2330,4500|0,0000|0,0000|35756,6900|47284,7300
2022|3|L|MORONA SANTIAGO|SUCUA|15936,8500|6293,8200|0,0000|6883,6200|375,1700|0,0000|0,0000|7258,7900|22600,6700
2022|3|S|CHIMBORAZO|RIOBAMBA|620692,0100|270413,2600|0,0000|650369,1900|190698,2000|0,0000|61448,2000|902515,5900|895081,6600
2022|3|Q|AZUAY|SEVILLA DE ORO|0,0000|2321,0000|0,0000|2020,0000|2100,0000|0,0000|0,0000|4120,0000|4271,0000
2022|2|M|LOS RIOS|MOCACHE|25359,9500|55293,2100|0,0000|43573,9700|14055,1300|0,0000|0,0000|57629,1000|80653,1600
2022|1|Q|PICHINCHA|QUITO|11910825,8400|120311537,8000|587351,0100|40221136,6500|59724810,3700|340265,3100|689295,3300|100998657,8400|132825403,1900
2022|1|G|MANABI|PORTOVIEJO|25941842,1700|20107187,2400|559911,4900|25109747,6300|19020233,0700|752242,9400|291711,1100|45173934,7500|46650031,5300
2022|1|N|CARCHI|TULCAN|76353,3800|5563,2400|0,0000|23040,6700|11185,9800|0,0000|725,3000|34951,9500|82479,3000
2022|1|I|TUNGURAHUA|AMBATO|1797533,5500|352856,2200|172,0000|921716,0400|664774,3900|38457,9700|35895,8300|1660844,2300|2150688,6000
2022|1|Q|ORELLANA|ORELLANA|13569,6600|546868,1400|0,0000|263724,7900|148823,7100|0,0000|0,0000|412548,5000|560437,8000
2022|1|S|GUAYAS|LOMAS DE SARGENTILLO|14929,3700|2067,2000|0,0000|4957,8700|42,0000|0,0000|0,0000|4999,8700|16996,5700
2022|1|A|ZAMORA CHINCHIPE|CHINCHIPE|6052,6200|1715,8100|0,0000|10578,6100|1572,2600|0,0000|0,0000|12150,8700|7768,4300
2022|1|F|EL ORO|EL GUABO|20048,9200|0,0000|0,0000|221629,0900|24117,7100|0,0000|212,0000|245958,8000|20048,9200
2022|1|S|LOS RIOS|BABA|136799,7800|10125,0100|0,0000|124188,2600|3512,1800|0,0000|0,0000|127700,4400|147009,6000
2022|1|G|BOLIVAR|CHILLANES|217126,4800|393575,6200|0,0000|293749,8400|402390,1600|0,0000|2000,0000|698140,0000|610712,1100
2022|1|G|ZAMORA CHINCHIPE|ZAMORA|3220503,9400|1447549,2000|0,0000|3204863,1000|1212150,3000|27017,1300|8197,9000|4452228,4300|4670467,9400
2022|1|H|GUAYAS|GUAYAQUIL|72749252,4400|73061423,8100|24062881,5300|57497036,4200|43078891,1200|4971569,4900|611420,1600|109275321,5000|170054863,4600
2022|1|C|SANTA ELENA|SALINAS|123885,6200|126825,5900|0,0000|180650,8600|104582,6500|0,0000|124,5000|285358,0100|250832,0300
2022|1|G|TUNGURAHUA|MOCHA|299634,1200|263741,7200|0,0000|301903,7700|226656,7400|83,6400|262,5000|528906,6500|563375,8400
2022|1|C|PICHINCHA|MEJIA|10518602,2500|5352216,9200|4684585,5500|6937489,4600|6003239,9000|4723979,1900|16417,1300|17686330,6800|20557515,2200
2022|1|M|PICHINCHA|CAYAMBE|599555,3500|91111,2100|19155,4200|411940,4800|70357,2100|0,0000|329,0300|482626,7200|714931,9800
2022|1|N|MANABI|PICHINCHA|200,0000|236,0700|0,0000|969,4200|35,0000|0,0000|0,0000|1004,4200|436,0700
2022|1|M|ESMERALDAS|SAN LORENZO|22808,8000|8729,8100|0,0000|45161,1400|11325,4400|0,0000|0,0000|56486,5800|31538,6100
2022|1|I|MANABI|CHONE|45951,4000|31354,3200|0,0000|66295,5800|17098,5000|0,0000|0,0000|83394,0800|79394,8600
2022|1|J|COTOPAXI|LATACUNGA|456716,0000|3716,1600|0,0000|287521,0700|12009,4300|14360,0600|206,5000|314097,0600|462396,0600
2022|1|F|GUAYAS|EL TRIUNFO|271723,7400|3949,4100|0,0000|230427,3900|4469,2800|0,0000|98,2700|234994,9400|275673,1500
2022|1|G|EL ORO|MARCABELI|144331,2000|341851,3500|0,0000|215730,9100|403582,3000|0,0000|0,0000|619313,2100|486182,5500
2022|1|F|TUNGURAHUA|BAÑOS DE AGUA SANTA|155274,6500|31100,5000|92,1700|49950,8500|37699,5500|0,0000|3674,0300|91324,4300|186467,3200
2022|1|A|SUCUMBIOS|SHUSHUFINDI|22224,0400|1296645,6400|0,0000|40792,2500|622223,9500|15586,4200|131799,9400|810402,5600|1318869,6900
2022|1|H|BOLIVAR|SAN MIGUEL|1867,8700|3020,4700|0,0000|4099,5300|280,0000|0,0000|14,2500|4393,7800|4888,3400
2022|1|C|COTOPAXI|LA MANA|17480,8700|82569,3900|0,0000|16116,0600|72713,2200|0,0000|0,0000|88829,2800|100050,2600
2022|1|G|MANABI|SUCRE|1062283,9200|2511635,2800|81445,0000|1334161,2400|2009140,1500|0,0000|1658,0200|3344959,4100|3656633,3300
2022|1|K|SANTA ELENA|SANTA ELENA|5702,4000|0,0000|0,0000|3085,0000|0,0000|0,0000|0,0000|3085,0000|5702,4000
2022|1|M|GUAYAS|SAN JACINTO DE YAGUACHI|86668,0700|13461,4300|0,0000|71529,2300|4590,7000|0,0000|0,0000|76119,9300|100129,5100
2022|2|G|LOS RIOS|QUEVEDO|15533935,4400|17958787,7600|6434926,5100|19232197,9000|16264868,8700|786299,1700|386788,3800|36670954,3200|40007389,4300
2022|2|G|GUAYAS|EL TRIUNFO|2225323,0300|3634609,1500|0,0000|2304375,6200|2848232,4300|2600,0000|4143,1100|5159351,1600|5864493,7600
2022|2|L|MANABI|EL CARMEN|61439,6300|21392,2100|0,0000|43524,1900|6917,3900|0,0000|0,0000|50441,5800|82831,8400
2022|2|A|EL ORO|MARCABELI|782,5700|623183,9700|0,0000|11483,6400|597118,1900|0,0000|9054,9400|617656,7700|623966,5400
2022|2|M|PICHINCHA|RUMIÑAHUI|3630974,1400|881355,4600|17878,0700|2450111,7200|415786,5500|23508,2700|18181,3200|2907587,8600|4535861,5200
2022|2|C|MANABI|JARAMIJO|1106845,0400|15991690,3000|27693909,9800|5300232,0100|16271212,6100|8402406,5600|81909,5600|30225978,0900|44792445,3200
2022|2|J|PASTAZA|MERA|85,9600|0,0000|0,0000|1155,9700|0,0000|0,0000|0,0000|1155,9700|85,9600
2022|2|A|MANABI|BOLIVAR|5510,0100|31862,5200|0,0000|13872,4100|23816,1300|0,0000|1800,0000|39488,5400|38357,9600
2022|2|G|COTOPAXI|PUJILI|1018913,2800|365091,6600|0,0000|1045268,1500|360540,1600|0,0000|7265,6200|1413073,9300|1387600,5700
2022|2|H|MANABI|MANTA|3332954,5000|2317374,2900|995644,4600|3508444,8900|953731,7600|6633,8000|29467,2300|4499577,6800|6669285,3000
2022|2|O|GUAYAS|MILAGRO|32698,5000|690380,7300|0,0000|1837377,2500|70512,4300|0,0000|0,0000|1907889,6800|723079,2300
2022|2|C|PASTAZA|PASTAZA|675041,0500|105857,5600|0,0000|239592,3900|112872,8600|250,0000|13227,6600|365942,9100|781548,6100
2022|2|A|LOS RIOS|BABA|5931,5800|4419065,5800|320303,2000|738713,1900|2103546,0600|196313,1100|76170,8300|3114743,1900|4745300,3600
2022|2|C|IMBABURA|SAN MIGUEL DE URCUQUI|6516,8800|8535,6200|0,0000|3881,5600|13099,6000|0,0000|0,0000|16981,1600|15052,5000
2022|1|I|AZUAY|SEVILLA DE ORO|10132,5500|960,0000|0,0000|1398,3400|2160,1700|0,0000|0,0000|3558,5100|11092,5500
2022|2|L|MANABI|PORTOVIEJO|728632,4800|169950,1900|1110,0000|516346,6900|51983,3400|10000,0000|17835,5300|596165,5600|901487,6800
2022|3|L|SUCUMBIOS|GONZALO PIZARRO|1207,6600|270,0000|0,0000|743,6600|36,5800|0,0000|0,0000|780,2400|2077,6600
2022|3|C|EL ORO|MACHALA|3046522,2700|5678200,7700|1165792,3000|2534604,7300|4720801,1700|1726583,7100|80020,8500|9062010,4600|10354334,6500
2022|3|B|IMBABURA|IBARRA|92107,7200|22071,0000|0,0000|156308,3600|5670,2200|0,0000|64,4000|162042,9800|114178,7300
2022|3|S|GUAYAS|SANTA LUCIA|1931,2800|12763,1000|0,0000|9456,9000|18808,5000|0,0000|0,0000|28265,4000|15644,3800
2022|3|C|EL ORO|HUAQUILLAS|218416,7100|141385,7400|0,0000|215537,9000|151639,1200|68442,2100|8626,6000|444245,8300|375789,2200
2022|3|H|PICHINCHA|RUMIÑAHUI|1464658,7000|3391414,5900|24324,3100|2089021,7000|1781061,1100|32024,6700|20332,0500|3922439,5300|4971835,1600
2022|3|P|MANABI|MONTECRISTI|36982,6800|24051,0500|0,0000|16766,0800|1151,1000|12,0000|0,0000|17929,1800|61033,7400
